ID;Nom;Prix (€);Qté;CA (€);Z-score
4604;Catherine et Claude Maréchal Pommard La Chanière 2016;49,0;1,0;49,0;0,5937597089948977
5548;Thierry Germain Saumur-Champigny Outre Terre 2017;48,8;0,0;0,0;0,5865746700696298
4658;Thierry Germain Saumur-Champigny Outre Terre 2016;48,8;0,0;0,0;0,5865746700696298
5003;David Duband Morey-Saint-Denis 2017;48,7;0,0;0,0;0,5829821506069962
5006;David Duband Nuits-Saint-Georges 2017;48,7;0,0;0,0;0,5829821506069962
6038;I Fabbri Chianti Classico Gran Selezione 2015;48,5;0,0;0,0;0,5757971116817283
5922;Albert Mann Pinot Noir Clos de la Faille 2017;48,5;17,0;824,5;0,5757971116817283
6666;Domaine Hauvette IGP Alpilles Dolia 2013;48,5;0,0;0,0;0,5757971116817283
4211;Lucien Boillot Pommard 2017;48,5;1,0;48,5;0,5757971116817283
5522;Domaine Chambeyron Côte Rôtie L'Angéline 2017;48,4;1,0;48,4;0,5722045922190944
6631;Weingut Besson-Strasser Zürich Pinot Noir Albi 2016;47,2;0,0;0,0;0,529094358667488
6751;Château Simone Palette Blanc 2017;46,5;0,0;0,0;0,5039467224290507
6884;Domino Romano Ribera del Duero RDR 2015;46,5;0,0;0,0;0,5039467224290507
6753;Château Simone Palette Rouge 2015;46,5;0,0;0,0;0,5039467224290507
4039;Pierre Jean Villa Côte Rôtie Carmina 2017;46,0;0,0;0,0;0,4859841251158813
6137;Domaine de Vaccelli Ajaccio Blanc Sirocco 2017;46,0;2,0;92,0;0,4859841251158813
6108;Gilles Robin Cornas 2016;46,0;0,0;0,0;0,4859841251158813
5950;Domaine de Vaccelli AOP Ajaccio Rouge Granit 2016;46,0;5,0;230,0;0,4859841251158813
4902;Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015;46,0;0,0;0,0;0,4859841251158813
6279;Borie de Maurel Minervois Rouge Maxime 2003;45,9;0,0;0,0;0,4823916056532474
5024;"Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs";45,0;0,0;0,0;0,4500589304895425
5062;Lucien Boillot Gevrey Chambertin 2017;45,0;2,0;90,0;0,4500589304895425
5690;Domaine Hauvette IGP Alpilles Dolia 2012;44,6;0,0;0,0;0,43568885263900703
5700;"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016";44,5;1,0;44,5;0,43209633317637314
4053;Clos du Mont-Olivet Châteauneuf-du-Pape 2012;44,3;23,0;1018,9;0,42491129425110524
6572;Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015;44,0;0,0;0,0;0,41413373586320373
4300;Domaine de La Tour Du Bon Bandol Rouge En Sol 2017;44,0;1,0;44,0;0,41413373586320373
4709;Albert Mann Pinot Gris Vendanges Tardives Altenbourg 2011;44,0;0,0;0,0;0,41413373586320373
4078;Domaine des Bosquets Gigondas La Colline 2015;44,0;10,0;440,0;0,41413373586320373
4400;Cognac Frapin 1270;44,0;0,0;0,0;0,41413373586320373
5905;Domaine de Montbourgeau L'Etoile Vin Jaune 2009;43,9;2,0;87,8;0,4105412164005698
4596;Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017;43,9;23,0;1009,7;0,4105412164005698
5488;Decelle-Villa Beaune Rouge 2015;43,5;0,0;0,0;0,39617113855003433
5487;Decelle-Villa Nuits-Saint-Georges Rouge 2016;43,5;3,0;130,5;0,39617113855003433
4657;Thierry Germain Saumur-Champigny Outre Terre 2014;43,0;0,0;0,0;0,3782085412368649
4656;Thierry Germain Saumur-Champigny Outre Terre 2013;43,0;0,0;0,0;0,3782085412368649
4045;Pierre Gaillard Côte Rôtie 2018;42,6;14,0;596,4;0,3638384633863294
6622;Thierry Germain Saumur-Champigny Les Mémoires 2018;42,2;0,0;0,0;0,34946838553579396
5756;Huile d'Olive Extra Vierge Planeta Selezione Chef 3L;42,2;4,0;168,8;0,34946838553579396
5742;Domaine Clerget Chambolle-Musigny 2014;42,1;0,0;0,0;0,34587586607316
6886;Gratavinum Priorat GV5 2011;42,0;0,0;0,0;0,3422833466105261
5474;Domaine Saint-Nicolas Fiefs Vendéens Rouge La Grande Pièce 2013;42,0;4,0;168,0;0,3422833466105261
4598;Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017;41,8;1,0;41,8;0,3350983076852582
6627;Weingut Besson-Strasser Zürich Fumé 2017;41,8;1,0;41,8;0,3350983076852582
6575;Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017;41,8;0,0;0,0;0,3350983076852582
4794;Maurice Schoech Riesling Grand Cru Rangen de Thann 2014;41,6;0,0;0,0;0,32791326875999066
5826;Agnès Levet Côte Rôtie Améthyste 2017;41,2;4,0;164,8;0,31354319090945515
4285;Château de Cazeneuve Pic Saint-Loup Le Sang Du Calvaire 2017;41,0;8,0;328,0;0,3063581519841873
4634;Marcel Windholtz Eau de Vie de Marc de Gewurztraminer;41,0;0,0;0,0;0,3063581519841873
4901;Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017;41,0;0,0;0,0;0,3063581519841873
6103;Stéphane Tissot Arbois Trousseau Amphore 2017;40,7;0,0;0,0;0,29558059359628575
6301;Borie La Vitarèle Saint-Chinian Midi Rouge 2015;40,5;0,0;0,0;0,2883955546710179
4655;Thierry Germain Saumur-Champigny Les Mémoires 2016;40,2;0,0;0,0;0,27761799628311634
